#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.11355E+04    0.34563E+01    0.13957E-02    0.76249E-01    0.16508E-01    0.34563E+01    0.54909E-01   -0.66861E-05    0.16975E-05   -0.35330E-05    0.13957E-02   -0.66861E-05    0.81391E-08    0.32938E-06    0.57170E-07    0.76249E-01    0.16975E-05    0.32938E-06    0.74299E-04    0.10612E-05    0.16508E-01   -0.35330E-05    0.57170E-07    0.10612E-05    0.12070E-05
     3    0.10552E+04    0.42959E+01    0.98249E-03    0.99313E-01    0.23313E-01    0.42959E+01    0.88312E-01   -0.57379E-05    0.10356E-04   -0.17731E-05    0.98249E-03   -0.57379E-05    0.49408E-08    0.41371E-06    0.75932E-07    0.99313E-01    0.10356E-04    0.41371E-06    0.17005E-03    0.30195E-05    0.23313E-01   -0.17731E-05    0.75932E-07    0.30195E-05    0.29897E-05
     4    0.98127E+03    0.43864E+01    0.74209E-03    0.11722E+00    0.29274E-01    0.43864E+01    0.97755E-01   -0.44323E-05    0.13443E-04    0.25543E-05    0.74209E-03   -0.44323E-05    0.34129E-08    0.48071E-06    0.92526E-07    0.11722E+00    0.13443E-04    0.48071E-06    0.31361E-03    0.61719E-05    0.29274E-01    0.25543E-05    0.92526E-07    0.61719E-05    0.58938E-05
     5    0.92440E+03    0.40402E+01    0.58511E-03    0.13132E+00    0.34597E-01    0.40402E+01    0.85338E-01   -0.31514E-05    0.12147E-04    0.63702E-05    0.58511E-03   -0.31514E-05    0.25341E-08    0.53345E-06    0.10741E-06    0.13132E+00    0.12147E-04    0.53345E-06    0.50767E-03    0.10594E-04    0.34597E-01    0.63702E-05    0.10741E-06    0.10594E-04    0.10126E-04
     6    0.88310E+03    0.34959E+01    0.47551E-03    0.14222E+00    0.39408E-01    0.34959E+01    0.62030E-01   -0.20283E-05    0.11429E-04    0.89981E-05    0.47551E-03   -0.20283E-05    0.19709E-08    0.57402E-06    0.12079E-06    0.14222E+00    0.11429E-04    0.57402E-06    0.75228E-03    0.16291E-04    0.39408E-01    0.89981E-05    0.12079E-06    0.16291E-04    0.15858E-04
     7    0.85438E+03    0.29011E+01    0.39540E-03    0.15046E+00    0.43748E-01    0.29011E+01    0.38881E-01   -0.11203E-05    0.12356E-04    0.10737E-04    0.39540E-03   -0.11203E-05    0.15840E-08    0.60416E-06    0.13283E-06    0.15046E+00    0.12356E-04    0.60416E-06    0.10453E-02    0.23198E-04    0.43748E-01    0.10737E-04    0.13283E-06    0.23198E-04    0.23230E-04
     8    0.83492E+03    0.23441E+01    0.33438E-03    0.15651E+00    0.47674E-01    0.23441E+01    0.22214E-01   -0.44786E-06    0.12215E-04    0.11853E-04    0.33438E-03   -0.44786E-06    0.13046E-08    0.62551E-06    0.14371E-06    0.15651E+00    0.12215E-04    0.62551E-06    0.13829E-02    0.31244E-04    0.47674E-01    0.11853E-04    0.14371E-06    0.31244E-04    0.32355E-04
     9    0.82252E+03    0.18691E+01    0.28641E-03    0.16069E+00    0.51253E-01    0.18691E+01    0.13102E-01   -0.34792E-08    0.10302E-04    0.12228E-04    0.28641E-03   -0.34792E-08    0.10953E-08    0.63947E-06    0.15356E-06    0.16069E+00    0.10302E-04    0.63947E-06    0.17606E-02    0.40324E-04    0.51253E-01    0.12228E-04    0.15356E-06    0.40324E-04    0.43332E-04
    10    0.81562E+03    0.15000E+01    0.24798E-03    0.16319E+00    0.54497E-01    0.15000E+01    0.94192E-02    0.24620E-06    0.85837E-05    0.11234E-04    0.24798E-03    0.24620E-06    0.93363E-09    0.64697E-06    0.16242E-06    0.16319E+00    0.85837E-05    0.64697E-06    0.21723E-02    0.50288E-04    0.54497E-01    0.11234E-04    0.16242E-06    0.50288E-04    0.56208E-04
    11    0.81264E+03    0.12445E+01    0.21702E-03    0.16432E+00    0.57420E-01    0.12445E+01    0.82925E-02    0.34871E-06    0.83353E-05    0.10940E-04    0.21702E-03    0.34871E-06    0.80602E-09    0.64923E-06    0.17046E-06    0.16432E+00    0.83353E-05    0.64923E-06    0.26130E-02    0.61025E-04    0.57420E-01    0.10940E-04    0.17046E-06    0.61025E-04    0.71059E-04
