#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.11355E+04    0.34563E+01    0.13957E-02    0.71674E-01    0.10765E-01    0.34563E+01    0.54909E-01   -0.66861E-05   -0.50820E-05   -0.45822E-05    0.13957E-02   -0.66861E-05    0.81391E-08    0.32016E-06    0.28936E-07    0.71674E-01   -0.50820E-05    0.32016E-06    0.47561E-04    0.17616E-06    0.10765E-01   -0.45822E-05    0.28936E-07    0.17616E-06    0.70332E-06
     3    0.10552E+04    0.42959E+01    0.98249E-03    0.96257E-01    0.16580E-01    0.42959E+01    0.88312E-01   -0.57379E-05    0.64960E-05   -0.74728E-05    0.98249E-03   -0.57379E-05    0.49408E-08    0.40620E-06    0.44897E-07    0.96257E-01    0.64960E-05    0.40620E-06    0.12240E-03    0.47682E-06    0.16580E-01   -0.74728E-05    0.44897E-07    0.47682E-06    0.19587E-05
     4    0.98127E+03    0.43864E+01    0.74209E-03    0.11510E+00    0.21902E-01    0.43864E+01    0.97755E-01   -0.44323E-05    0.12290E-04   -0.38066E-05    0.74209E-03   -0.44323E-05    0.34129E-08    0.47460E-06    0.59531E-07    0.11510E+00    0.12290E-04    0.47460E-06    0.24404E-03    0.79552E-06    0.21902E-01   -0.38066E-05    0.59531E-07    0.79552E-06    0.41580E-05
     5    0.92440E+03    0.40402E+01    0.58511E-03    0.12981E+00    0.26721E-01    0.40402E+01    0.85338E-01   -0.31514E-05    0.12162E-04    0.16138E-05    0.58511E-03   -0.31514E-05    0.25341E-08    0.52840E-06    0.73055E-07    0.12981E+00    0.12162E-04    0.52840E-06    0.41687E-03    0.11279E-05    0.26721E-01    0.16138E-05    0.73055E-07    0.11279E-05    0.75037E-05
     6    0.88310E+03    0.34959E+01    0.47551E-03    0.14112E+00    0.31129E-01    0.34959E+01    0.62030E-01   -0.20283E-05    0.11628E-04    0.60289E-05    0.47551E-03   -0.20283E-05    0.19709E-08    0.56981E-06    0.85546E-07    0.14112E+00    0.11628E-04    0.56981E-06    0.64189E-03    0.15075E-05    0.31129E-01    0.60289E-05    0.85546E-07    0.15075E-05    0.12164E-04
     7    0.85438E+03    0.29011E+01    0.39540E-03    0.14965E+00    0.35151E-01    0.29011E+01    0.38881E-01   -0.11203E-05    0.12688E-04    0.89276E-05    0.39540E-03   -0.11203E-05    0.15840E-08    0.60064E-06    0.97040E-07    0.14965E+00    0.12688E-04    0.60064E-06    0.91748E-03    0.19567E-05    0.35151E-01    0.89276E-05    0.97040E-07    0.19567E-05    0.18274E-04
     8    0.83492E+03    0.23441E+01    0.33438E-03    0.15592E+00    0.38830E-01    0.23441E+01    0.22214E-01   -0.44786E-06    0.12589E-04    0.10707E-04    0.33438E-03   -0.44786E-06    0.13046E-08    0.62257E-06    0.10763E-06    0.15592E+00    0.12589E-04    0.62257E-06    0.12400E-02    0.25183E-05    0.38830E-01    0.10707E-04    0.10763E-06    0.25183E-05    0.25942E-04
     9    0.82252E+03    0.18691E+01    0.28641E-03    0.16027E+00    0.42223E-01    0.18691E+01    0.13102E-01   -0.34792E-08    0.10558E-04    0.11455E-04    0.28641E-03   -0.34792E-08    0.10953E-08    0.63703E-06    0.11740E-06    0.16027E+00    0.10558E-04    0.63703E-06    0.16051E-02    0.32176E-05    0.42223E-01    0.11455E-04    0.11740E-06    0.32176E-05    0.35265E-04
    10    0.81562E+03    0.15000E+01    0.24798E-03    0.16289E+00    0.45336E-01    0.15000E+01    0.94192E-02    0.24620E-06    0.87547E-05    0.10708E-04    0.24798E-03    0.24620E-06    0.93363E-09    0.64495E-06    0.12635E-06    0.16289E+00    0.87547E-05    0.64495E-06    0.20066E-02    0.40583E-05    0.45336E-01    0.10708E-04    0.12635E-06    0.40583E-05    0.46293E-04
    11    0.81264E+03    0.12445E+01    0.21702E-03    0.16412E+00    0.48179E-01    0.12445E+01    0.82925E-02    0.34871E-06    0.84706E-05    0.10482E-04    0.21702E-03    0.34871E-06    0.80602E-09    0.64757E-06    0.13458E-06    0.16412E+00    0.84706E-05    0.64757E-06    0.24392E-02    0.50616E-05    0.48179E-01    0.10482E-04    0.13458E-06    0.50616E-05    0.59100E-04
