#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
     2    0.11276E+04    0.33789E+01    0.14075E-02    0.17348E-02    0.22447E-03    0.33789E+01    0.54983E-01   -0.66898E-05   -0.44647E-06   -0.50788E-08    0.14075E-02   -0.66898E-05    0.81421E-08    0.10975E-07    0.25769E-08    0.17348E-02   -0.44647E-06    0.10975E-07    0.22787E-07    0.66802E-08    0.22447E-03   -0.50788E-08    0.25769E-08    0.66802E-08    0.32657E-08
     3    0.10499E+04    0.42236E+01    0.98781E-03    0.19971E-02    0.16326E-03    0.42236E+01    0.88312E-01   -0.57418E-05   -0.10168E-07    0.89978E-08    0.98781E-03   -0.57418E-05    0.49414E-08    0.11587E-07    0.19645E-08    0.19971E-02   -0.10168E-07    0.11587E-07    0.47101E-07    0.10390E-07    0.16326E-03    0.89978E-08    0.19645E-08    0.10390E-07    0.48069E-08
     4    0.97784E+03    0.43398E+01    0.74416E-03    0.21720E-02    0.12836E-03    0.43398E+01    0.97755E-01   -0.44361E-05    0.16949E-06    0.53302E-08    0.74416E-03   -0.44361E-05    0.34133E-08    0.11940E-07    0.15711E-08    0.21720E-02    0.16949E-06    0.11940E-07    0.79162E-07    0.13940E-07    0.12836E-03    0.53302E-08    0.15711E-08    0.13940E-07    0.62327E-08
     5    0.92227E+03    0.40164E+01    0.58553E-03    0.22928E-02    0.10504E-03    0.40164E+01    0.85338E-01   -0.31549E-05    0.19114E-06    0.35409E-08    0.58553E-03   -0.31549E-05    0.25344E-08    0.12096E-07    0.12928E-08    0.22928E-02    0.19114E-06    0.12096E-07    0.11781E-06    0.17248E-07    0.10504E-03    0.35409E-08    0.12928E-08    0.17248E-07    0.75520E-08
     6    0.88185E+03    0.34861E+01    0.47520E-03    0.23716E-02    0.87656E-04    0.34861E+01    0.62030E-01   -0.20313E-05    0.18689E-06    0.25259E-08    0.47520E-03   -0.20313E-05    0.19711E-08    0.12102E-07    0.10845E-08    0.23716E-02    0.18689E-06    0.12102E-07    0.16178E-06    0.20292E-07    0.87656E-04    0.25259E-08    0.10845E-08    0.20292E-07    0.87799E-08
     7    0.85373E+03    0.28979E+01    0.39488E-03    0.24185E-02    0.74484E-04    0.28979E+01    0.38882E-01   -0.11229E-05    0.20170E-06    0.17753E-08    0.39488E-03   -0.11229E-05    0.15842E-08    0.12004E-07    0.92595E-09    0.24185E-02    0.20170E-06    0.12004E-07    0.21003E-06    0.23126E-07    0.74484E-04    0.17753E-08    0.92595E-09    0.23126E-07    0.99381E-08
     8    0.83465E+03    0.23431E+01    0.33389E-03    0.24413E-02    0.64248E-04    0.23431E+01    0.22214E-01   -0.44999E-06    0.20182E-06    0.12471E-08    0.33389E-03   -0.44999E-06    0.13048E-08    0.11831E-07    0.80247E-09    0.24413E-02    0.20182E-06    0.11831E-07    0.26156E-06    0.25792E-07    0.64248E-04    0.12471E-08    0.80247E-09    0.25792E-07    0.11036E-07
     9    0.82248E+03    0.18687E+01    0.28601E-03    0.24453E-02    0.56167E-04    0.18687E+01    0.13102E-01   -0.52415E-08    0.16738E-06    0.92069E-09    0.28601E-03   -0.52415E-08    0.10955E-08    0.11605E-07    0.70458E-09    0.24453E-02    0.16738E-06    0.11605E-07    0.31555E-06    0.28327E-07    0.56167E-04    0.92069E-09    0.70458E-09    0.28327E-07    0.12077E-07
    10    0.81568E+03    0.14998E+01    0.24765E-03    0.24333E-02    0.49682E-04    0.14998E+01    0.94192E-02    0.24475E-06    0.13637E-06    0.68961E-09    0.24765E-03    0.24475E-06    0.93377E-09    0.11343E-07    0.62554E-09    0.24333E-02    0.13637E-06    0.11343E-07    0.37127E-06    0.30754E-07    0.49682E-04    0.68961E-09    0.62554E-09    0.30754E-07    0.13063E-07
    11    0.81273E+03    0.12446E+01    0.21672E-03    0.24094E-02    0.44398E-04    0.12446E+01    0.82925E-02    0.34753E-06    0.13181E-06    0.50016E-09    0.21672E-03    0.34753E-06    0.80615E-09    0.11057E-07    0.56070E-09    0.24094E-02    0.13181E-06    0.11057E-07    0.42819E-06    0.33091E-07    0.44398E-04    0.50016E-09    0.56070E-09    0.33091E-07    0.13998E-07
