#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.112982E+04   0.340324E+01   0.343597E-02   0.340324E+01   0.548932E-01  -0.163894E-04   0.343597E-02  -0.163894E-04   0.488626E-07
     3   0.105124E+04   0.425274E+01   0.341656E-02   0.425274E+01   0.883316E-01  -0.198911E-04   0.341656E-02  -0.198911E-04   0.594262E-07
     4   0.978437E+03   0.435811E+01   0.332590E-02   0.435811E+01   0.977771E-01  -0.198400E-04   0.332590E-02  -0.198400E-04   0.684302E-07
     5   0.922400E+03   0.402521E+01   0.320854E-02   0.402521E+01   0.853640E-01  -0.172836E-04   0.320854E-02  -0.172836E-04   0.762237E-07
     6   0.881672E+03   0.348924E+01   0.308304E-02   0.348924E+01   0.620574E-01  -0.131697E-04   0.308304E-02  -0.131697E-04   0.830073E-07
     7   0.853316E+03   0.289859E+01   0.295912E-02   0.289859E+01   0.389051E-01  -0.840815E-05   0.295912E-02  -0.840815E-05   0.889633E-07
     8   0.834099E+03   0.234318E+01   0.283754E-02   0.234318E+01   0.222295E-01  -0.382216E-05   0.283754E-02  -0.382216E-05   0.942204E-07
     9   0.821883E+03   0.186871E+01   0.271758E-02   0.186871E+01   0.131099E-01  -0.516459E-07   0.271758E-02  -0.516459E-07   0.988873E-07
    10   0.815098E+03   0.149978E+01   0.260136E-02   0.149978E+01   0.942312E-02   0.256705E-05   0.260136E-02   0.256705E-05   0.103032E-06
    11   0.812165E+03   0.124440E+01   0.249393E-02   0.124440E+01   0.829568E-02   0.399468E-05   0.249393E-02   0.399468E-05   0.106747E-06
    12   0.813313E+03   0.109935E+01   0.239522E-02   0.109935E+01   0.771469E-02   0.433506E-05   0.239522E-02   0.433506E-05   0.110036E-06
    13   0.816386E+03   0.104233E+01   0.230875E-02   0.104233E+01   0.691487E-02   0.374745E-05   0.230875E-02   0.374745E-05   0.113000E-06
    14   0.821259E+03   0.104343E+01   0.222728E-02   0.104343E+01   0.599661E-02   0.248010E-05   0.222728E-02   0.248010E-05   0.115628E-06
    15   0.826746E+03   0.108189E+01   0.215094E-02   0.108189E+01   0.531735E-02   0.918883E-06   0.215094E-02   0.918883E-06   0.117993E-06
    16   0.834437E+03   0.114424E+01   0.207645E-02   0.114424E+01   0.508076E-02  -0.496992E-06   0.207645E-02  -0.496992E-06   0.120099E-06
    17   0.844103E+03   0.121471E+01   0.200489E-02   0.121471E+01   0.519059E-02  -0.156793E-05   0.200489E-02  -0.156793E-05   0.121972E-06
    18   0.854557E+03   0.128071E+01   0.193827E-02   0.128071E+01   0.549202E-02  -0.220132E-05   0.193827E-02  -0.220132E-05   0.123647E-06
    19   0.866540E+03   0.133960E+01   0.187581E-02   0.133960E+01   0.587141E-02  -0.246920E-05   0.187581E-02  -0.246920E-05   0.125134E-06
    20   0.878426E+03   0.138347E+01   0.181621E-02   0.138347E+01   0.624613E-02  -0.246162E-05   0.181621E-02  -0.246162E-05   0.126440E-06
    21   0.890883E+03   0.142015E+01   0.175895E-02   0.142015E+01   0.669681E-02  -0.217607E-05   0.175895E-02  -0.217607E-05   0.127587E-06
    22   0.903912E+03   0.145489E+01   0.170382E-02   0.145489E+01   0.734349E-02  -0.162626E-05   0.170382E-02  -0.162626E-05   0.128595E-06
    23   0.917105E+03   0.149025E+01   0.165118E-02   0.149025E+01   0.822835E-02  -0.983357E-06   0.165118E-02  -0.983357E-06   0.129474E-06
    24   0.930765E+03   0.152800E+01   0.160140E-02   0.152800E+01   0.937249E-02  -0.440097E-06   0.160140E-02  -0.440097E-06   0.130230E-06
    25   0.945008E+03   0.156486E+01   0.155439E-02   0.156486E+01   0.107598E-01  -0.117967E-06   0.155439E-02  -0.117967E-06   0.130875E-06
    26   0.959330E+03   0.160760E+01   0.150989E-02   0.160760E+01   0.123697E-01  -0.771207E-07   0.150989E-02  -0.771207E-07   0.131419E-06
    27   0.974133E+03   0.165515E+01   0.146748E-02   0.165515E+01   0.141765E-01  -0.203605E-06   0.146748E-02  -0.203605E-06   0.131871E-06
    28   0.989245E+03   0.169982E+01   0.142686E-02   0.169982E+01   0.161426E-01  -0.365519E-06   0.142686E-02  -0.365519E-06   0.132239E-06
    29   0.100460E+04   0.174454E+01   0.138821E-02   0.174454E+01   0.182858E-01  -0.533285E-06   0.138821E-02  -0.533285E-06   0.132521E-06
    30   0.102039E+04   0.178017E+01   0.135174E-02   0.178017E+01   0.206273E-01  -0.707702E-06   0.135174E-02  -0.707702E-06   0.132721E-06
    31   0.103602E+04   0.181273E+01   0.131705E-02   0.181273E+01   0.231374E-01  -0.908761E-06   0.131705E-02  -0.908761E-06   0.132847E-06
    32   0.105230E+04   0.183300E+01   0.128368E-02   0.183300E+01   0.258121E-01  -0.114018E-05   0.128368E-02  -0.114018E-05   0.132912E-06
    33   0.106868E+04   0.183997E+01   0.125130E-02   0.183997E+01   0.286357E-01  -0.132136E-05   0.125130E-02  -0.132136E-05   0.132920E-06
    34   0.108515E+04   0.183679E+01   0.121972E-02   0.183679E+01   0.316618E-01  -0.136639E-05   0.121972E-02  -0.136639E-05   0.132873E-06
    35   0.110227E+04   0.181791E+01   0.118896E-02   0.181791E+01   0.348982E-01  -0.125243E-05   0.118896E-02  -0.125243E-05   0.132774E-06
    36   0.111915E+04   0.179623E+01   0.115919E-02   0.179623E+01   0.383655E-01  -0.998079E-06   0.115919E-02  -0.998079E-06   0.132629E-06
    37   0.113631E+04   0.176329E+01   0.113091E-02   0.176329E+01   0.420732E-01  -0.724547E-06   0.113091E-02  -0.724547E-06   0.132439E-06
    38   0.115385E+04   0.171835E+01   0.110451E-02   0.171835E+01   0.460000E-01  -0.546041E-06   0.110451E-02  -0.546041E-06   0.132209E-06
    39   0.117167E+04   0.166326E+01   0.107963E-02   0.166326E+01   0.501606E-01  -0.446096E-06   0.107963E-02  -0.446096E-06   0.131941E-06
    40   0.118968E+04   0.159953E+01   0.105574E-02   0.159953E+01   0.545810E-01  -0.375579E-06   0.105574E-02  -0.375579E-06   0.131637E-06
    41   0.120779E+04   0.152838E+01   0.103240E-02   0.152838E+01   0.592819E-01  -0.296209E-06   0.103240E-02  -0.296209E-06   0.131298E-06
    42   0.122600E+04   0.144977E+01   0.100958E-02   0.144977E+01   0.642606E-01  -0.213126E-06   0.100958E-02  -0.213126E-06   0.130928E-06
    43   0.124434E+04   0.136298E+01   0.987372E-03   0.136298E+01   0.695082E-01  -0.142324E-06   0.987372E-03  -0.142324E-06   0.130527E-06
    44   0.126284E+04   0.126568E+01   0.965870E-03   0.126568E+01   0.750140E-01  -0.997980E-07   0.965870E-03  -0.997980E-07   0.130100E-06
    45   0.128159E+04   0.115522E+01   0.945160E-03   0.115522E+01   0.807644E-01  -0.101541E-06   0.945160E-03  -0.101541E-06   0.129647E-06
