  0.994668E-05  0.202951E+08  0.202951E+08  0.270459E+08  0.270455E+08  0.202974E+08  0.202951E+08  0.202951E+08  0.203023E+08 -0.458528E+00  0.992970E+07  0.992970E+07  0.636416E+01
  0.109829E-04  0.202951E+08  0.202951E+08  0.270428E+08  0.270423E+08  0.202974E+08  0.202951E+08  0.202951E+08  0.203023E+08 -0.458528E+00  0.992970E+07  0.992970E+07  0.702698E+01
  0.121272E-04  0.202951E+08  0.202951E+08  0.270390E+08  0.270384E+08  0.202974E+08  0.202951E+08  0.202951E+08  0.203023E+08 -0.458528E+00  0.992970E+07  0.992970E+07  0.775877E+01
  0.133906E-04  0.202950E+08  0.202950E+08  0.270344E+08  0.270337E+08  0.202974E+08  0.202951E+08  0.202950E+08  0.203023E+08 -0.458528E+00  0.992969E+07  0.992969E+07  0.856671E+01
  0.147857E-04  0.202950E+08  0.202950E+08  0.270288E+08  0.270279E+08  0.202974E+08  0.202950E+08  0.202950E+08  0.203023E+08 -0.458527E+00  0.992969E+07  0.992968E+07  0.945869E+01
  0.163261E-04  0.202950E+08  0.202950E+08  0.270219E+08  0.270208E+08  0.202973E+08  0.202950E+08  0.202950E+08  0.203023E+08 -0.458527E+00  0.992968E+07  0.992968E+07  0.104434E+02
  0.180269E-04  0.202950E+08  0.202950E+08  0.270136E+08  0.270122E+08  0.202973E+08  0.202950E+08  0.202950E+08  0.203022E+08 -0.458526E+00  0.992967E+07  0.992967E+07  0.115305E+02
  0.199050E-04  0.202950E+08  0.202950E+08  0.270034E+08  0.270017E+08  0.202972E+08  0.202950E+08  0.202950E+08  0.203022E+08 -0.458526E+00  0.992966E+07  0.992966E+07  0.127305E+02
  0.219788E-04  0.202950E+08  0.202950E+08  0.269910E+08  0.269889E+08  0.202972E+08  0.202950E+08  0.202950E+08  0.203022E+08 -0.458525E+00  0.992965E+07  0.992965E+07  0.140551E+02
  0.242686E-04  0.202949E+08  0.202949E+08  0.269758E+08  0.269733E+08  0.202971E+08  0.202949E+08  0.202949E+08  0.203022E+08 -0.458524E+00  0.992963E+07  0.992963E+07  0.155171E+02
  0.267969E-04  0.202949E+08  0.202949E+08  0.269574E+08  0.269543E+08  0.202970E+08  0.202949E+08  0.202949E+08  0.203021E+08 -0.458523E+00  0.992962E+07  0.992962E+07  0.171306E+02
  0.295887E-04  0.202949E+08  0.202948E+08  0.269349E+08  0.269311E+08  0.202969E+08  0.202949E+08  0.202948E+08  0.203021E+08 -0.458522E+00  0.992960E+07  0.992959E+07  0.189111E+02
