#    L    TT             EE             TE             PP             TP          
     2    0.11355E+04    0.54909E-01    0.34563E+01    0.10130E+07    0.31868E+05
     3    0.10552E+04    0.88312E-01    0.42959E+01    0.15566E+07    0.37856E+05
     4    0.98127E+03    0.97755E-01    0.43864E+01    0.20389E+07    0.40666E+05
     5    0.92440E+03    0.85338E-01    0.40402E+01    0.24641E+07    0.41750E+05
     6    0.88310E+03    0.62030E-01    0.34959E+01    0.28385E+07    0.41878E+05
     7    0.85438E+03    0.38881E-01    0.29011E+01    0.31698E+07    0.41473E+05
     8    0.83492E+03    0.22214E-01    0.23441E+01    0.34641E+07    0.40720E+05
     9    0.82252E+03    0.13102E-01    0.18691E+01    0.37267E+07    0.39729E+05
    10    0.81562E+03    0.94192E-02    0.15000E+01    0.39615E+07    0.38605E+05
    11    0.81264E+03    0.82925E-02    0.12445E+01    0.41727E+07    0.37474E+05
    12    0.81364E+03    0.77398E-02    0.11002E+01    0.43621E+07    0.36397E+05
    13    0.81683E+03    0.69109E-02    0.10427E+01    0.45321E+07    0.35377E+05
    14    0.82124E+03    0.60052E-02    0.10431E+01    0.46854E+07    0.34402E+05
    15    0.82715E+03    0.53139E-02    0.10823E+01    0.48235E+07    0.33441E+05
    16    0.83492E+03    0.50431E-02    0.11446E+01    0.49479E+07    0.32472E+05
    17    0.84446E+03    0.51885E-02    0.12150E+01    0.50601E+07    0.31520E+05
    18    0.85484E+03    0.55083E-02    0.12820E+01    0.51614E+07    0.30616E+05
    19    0.86687E+03    0.58697E-02    0.13400E+01    0.52524E+07    0.29753E+05
    20    0.87888E+03    0.62504E-02    0.13842E+01    0.53339E+07    0.28917E+05
    21    0.89121E+03    0.66952E-02    0.14206E+01    0.54068E+07    0.28102E+05
    22    0.90412E+03    0.73362E-02    0.14556E+01    0.54721E+07    0.27306E+05
    23    0.91742E+03    0.82279E-02    0.14907E+01    0.55305E+07    0.26537E+05
    24    0.93117E+03    0.93662E-02    0.15267E+01    0.55822E+07    0.25802E+05
    25    0.94531E+03    0.10760E-01    0.15655E+01    0.56280E+07    0.25103E+05
    26    0.95965E+03    0.12379E-01    0.16095E+01    0.56682E+07    0.24437E+05
    27    0.97443E+03    0.14178E-01    0.16559E+01    0.57035E+07    0.23797E+05
    28    0.98949E+03    0.16144E-01    0.17018E+01    0.57341E+07    0.23179E+05
    29    0.10049E+04    0.18287E-01    0.17454E+01    0.57602E+07    0.22588E+05
    30    0.10205E+04    0.20624E-01    0.17834E+01    0.57819E+07    0.22027E+05
    31    0.10363E+04    0.23139E-01    0.18136E+01    0.57996E+07    0.21491E+05
    32    0.10524E+04    0.25806E-01    0.18337E+01    0.58140E+07    0.20972E+05
    33    0.10690E+04    0.28637E-01    0.18409E+01    0.58253E+07    0.20465E+05
