#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
     2    0.11312E+04    0.34141E+01    0.14017E-02    0.84512E-01    0.34141E+01    0.54932E-01   -0.66894E-05    0.27898E-04    0.14017E-02   -0.66894E-05    0.81419E-08    0.80315E-06    0.84512E-01    0.27898E-04    0.80315E-06    0.57660E-03
     3    0.10523E+04    0.42579E+01    0.98506E-03    0.11661E+00    0.42579E+01    0.88312E-01   -0.57417E-05    0.10334E-04    0.98506E-03   -0.57417E-05    0.49414E-08    0.93749E-06    0.11661E+00    0.10334E-04    0.93749E-06    0.11287E-02
     4    0.97942E+03    0.43620E+01    0.74295E-03    0.13622E+00    0.43620E+01    0.97755E-01   -0.44360E-05    0.65226E-05    0.74295E-03   -0.44360E-05    0.34133E-08    0.10070E-05    0.13622E+00    0.65226E-05    0.10070E-05    0.18359E-02
     5    0.92323E+03    0.40277E+01    0.58511E-03    0.14666E+00    0.40277E+01    0.85338E-01   -0.31549E-05    0.59296E-05    0.58511E-03   -0.31549E-05    0.25344E-08    0.10312E-05    0.14666E+00    0.59296E-05    0.10312E-05    0.26628E-02
     6    0.88239E+03    0.34908E+01    0.47513E-03    0.15066E+00    0.34908E+01    0.62030E-01   -0.20312E-05    0.58354E-05    0.47513E-03   -0.20312E-05    0.19711E-08    0.10243E-05    0.15066E+00    0.58354E-05    0.10243E-05    0.35663E-02
     7    0.85399E+03    0.28994E+01    0.39491E-03    0.15023E+00    0.28994E+01    0.38882E-01   -0.11228E-05    0.53500E-05    0.39491E-03   -0.11228E-05    0.15842E-08    0.99664E-06    0.15023E+00    0.53500E-05    0.99664E-06    0.45035E-02
     8    0.83473E+03    0.23435E+01    0.33392E-03    0.14687E+00    0.23435E+01    0.22214E-01   -0.44998E-06    0.46605E-05    0.33392E-03   -0.44998E-06    0.13048E-08    0.95629E-06    0.14687E+00    0.46605E-05    0.95629E-06    0.54398E-02
     9    0.82245E+03    0.18688E+01    0.28601E-03    0.14165E+00    0.18688E+01    0.13102E-01   -0.52699E-08    0.44542E-05    0.28601E-03   -0.52699E-08    0.10954E-08    0.90904E-06    0.14165E+00    0.44542E-05    0.90904E-06    0.63531E-02
    10    0.81561E+03    0.14998E+01    0.24762E-03    0.13533E+00    0.14998E+01    0.94192E-02    0.24474E-06    0.45220E-05    0.24762E-03    0.24474E-06    0.93376E-09    0.85872E-06    0.13533E+00    0.45220E-05    0.85872E-06    0.72277E-02
    11    0.81264E+03    0.12445E+01    0.21669E-03    0.12854E+00    0.12445E+01    0.82925E-02    0.34756E-06    0.43832E-05    0.21669E-03    0.34756E-06    0.80613E-09    0.80842E-06    0.12854E+00    0.43832E-05    0.80842E-06    0.80621E-02
    12    0.81364E+03    0.11002E+01    0.19152E-03    0.12163E+00    0.11002E+01    0.77398E-02    0.34712E-06    0.40307E-05    0.19152E-03    0.34712E-06    0.70309E-09    0.75978E-06    0.12163E+00    0.40307E-05    0.75978E-06    0.88566E-02
    13    0.81681E+03    0.10427E+01    0.17082E-03    0.11486E+00    0.10427E+01    0.69109E-02    0.27753E-06    0.36280E-05    0.17082E-03    0.27753E-06    0.61886E-09    0.71383E-06    0.11486E+00    0.36280E-05    0.71383E-06    0.96202E-02
    14    0.82122E+03    0.10431E+01    0.15343E-03    0.10844E+00    0.10431E+01    0.60052E-02    0.17079E-06    0.32981E-05    0.15343E-03    0.17079E-06    0.54882E-09    0.67141E-06    0.10844E+00    0.32981E-05    0.67141E-06    0.10365E-01
    15    0.82713E+03    0.10823E+01    0.13857E-03    0.10246E+00    0.10823E+01    0.53139E-02    0.59131E-07    0.29579E-05    0.13857E-03    0.59131E-07    0.49001E-09    0.63268E-06    0.10246E+00    0.29579E-05    0.63268E-06    0.11101E-01
    16    0.83491E+03    0.11446E+01    0.12564E-03    0.96965E-01    0.11446E+01    0.50431E-02   -0.30116E-07    0.25114E-05    0.12564E-03   -0.30116E-07    0.44004E-09    0.59760E-06    0.96965E-01    0.25114E-05    0.59760E-06    0.11842E-01
    17    0.84446E+03    0.12151E+01    0.11438E-03    0.91956E-01    0.12151E+01    0.51885E-02   -0.89673E-07    0.20192E-05    0.11438E-03   -0.89673E-07    0.39727E-09    0.56598E-06    0.91956E-01    0.20192E-05    0.56598E-06    0.12595E-01
    18    0.85484E+03    0.12821E+01    0.10459E-03    0.87420E-01    0.12821E+01    0.55083E-02   -0.11926E-06    0.15674E-05    0.10459E-03   -0.11926E-06    0.36032E-09    0.53753E-06    0.87420E-01    0.15674E-05    0.53753E-06    0.13365E-01
    19    0.86688E+03    0.13400E+01    0.96024E-04    0.83315E-01    0.13400E+01    0.58697E-02   -0.12661E-06    0.11897E-05    0.96024E-04   -0.12661E-06    0.32820E-09    0.51188E-06    0.83315E-01    0.11897E-05    0.51188E-06    0.14154E-01
    20    0.87888E+03    0.13842E+01    0.88432E-04    0.79592E-01    0.13842E+01    0.62504E-02   -0.11990E-06    0.89936E-06    0.88432E-04   -0.11990E-06    0.30004E-09    0.48861E-06    0.79592E-01    0.89936E-06    0.48861E-06    0.14958E-01
    21    0.89120E+03    0.14206E+01    0.81658E-04    0.76204E-01    0.14206E+01    0.66952E-02   -0.10114E-06    0.68011E-06    0.81658E-04   -0.10114E-06    0.27524E-09    0.46741E-06    0.76204E-01    0.68011E-06    0.46741E-06    0.15773E-01
    22    0.90411E+03    0.14556E+01    0.75581E-04    0.73107E-01    0.14556E+01    0.73361E-02   -0.72363E-07    0.50987E-06    0.75581E-04   -0.72363E-07    0.25329E-09    0.44797E-06    0.73107E-01    0.50987E-06    0.44797E-06    0.16594E-01
    23    0.91742E+03    0.14908E+01    0.70127E-04    0.70255E-01    0.14908E+01    0.82279E-02   -0.41776E-07    0.37206E-06    0.70127E-04   -0.41776E-07    0.23378E-09    0.43000E-06    0.70255E-01    0.37206E-06    0.43000E-06    0.17410E-01
    24    0.93117E+03    0.15267E+01    0.65234E-04    0.67605E-01    0.15267E+01    0.93662E-02   -0.17936E-07    0.25481E-06    0.65234E-04   -0.17936E-07    0.21633E-09    0.41323E-06    0.67605E-01    0.25481E-06    0.41323E-06    0.18213E-01
    25    0.94531E+03    0.15655E+01    0.60835E-04    0.65119E-01    0.15655E+01    0.10760E-01   -0.46114E-08    0.15946E-06    0.60835E-04   -0.46114E-08    0.20069E-09    0.39746E-06    0.65119E-01    0.15946E-06    0.39746E-06    0.18995E-01
    26    0.95965E+03    0.16095E+01    0.56862E-04    0.62767E-01    0.16095E+01    0.12379E-01   -0.28267E-08    0.90063E-07    0.56862E-04   -0.28267E-08    0.18660E-09    0.38254E-06    0.62767E-01    0.90063E-07    0.38254E-06    0.19746E-01
    27    0.97443E+03    0.16559E+01    0.53255E-04    0.60530E-01    0.16559E+01    0.14178E-01   -0.74435E-08    0.48281E-07    0.53255E-04   -0.74435E-08    0.17387E-09    0.36834E-06    0.60530E-01    0.48281E-07    0.36834E-06    0.20460E-01
    28    0.98949E+03    0.17018E+01    0.49964E-04    0.58390E-01    0.17018E+01    0.16144E-01   -0.12901E-07    0.32368E-07    0.49964E-04   -0.12901E-07    0.16234E-09    0.35476E-06    0.58390E-01    0.32368E-07    0.35476E-06    0.21133E-01
    29    0.10049E+04    0.17454E+01    0.46962E-04    0.56326E-01    0.17454E+01    0.18287E-01   -0.18116E-07    0.29286E-07    0.46962E-04   -0.18116E-07    0.15184E-09    0.34171E-06    0.56326E-01    0.29286E-07    0.34171E-06    0.21761E-01
    30    0.10205E+04    0.17834E+01    0.44229E-04    0.54323E-01    0.17834E+01    0.20624E-01   -0.23233E-07    0.25846E-07    0.44229E-04   -0.23233E-07    0.14226E-09    0.32914E-06    0.54323E-01    0.25846E-07    0.32914E-06    0.22341E-01
    31    0.10363E+04    0.18136E+01    0.41726E-04    0.52384E-01    0.18136E+01    0.23139E-01   -0.28839E-07    0.19522E-07    0.41726E-04   -0.28839E-07    0.13351E-09    0.31703E-06    0.52384E-01    0.19522E-07    0.31703E-06    0.22877E-01
    32    0.10524E+04    0.18336E+01    0.39417E-04    0.50514E-01    0.18336E+01    0.25806E-01   -0.35016E-07    0.11054E-07    0.39417E-04   -0.35016E-07    0.12548E-09    0.30537E-06    0.50514E-01    0.11054E-07    0.30537E-06    0.23371E-01
    33    0.10690E+04    0.18409E+01    0.37276E-04    0.48702E-01    0.18409E+01    0.28637E-01   -0.39399E-07    0.35860E-08    0.37276E-04   -0.39399E-07    0.11811E-09    0.29417E-06    0.48702E-01    0.35860E-08    0.29417E-06    0.23828E-01
    34    0.10857E+04    0.18345E+01    0.35282E-04    0.46940E-01    0.18345E+01    0.31661E-01   -0.39554E-07   -0.51307E-10    0.35282E-04   -0.39554E-07    0.11133E-09    0.28341E-06    0.46940E-01   -0.51307E-10    0.28341E-06    0.24253E-01
